LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,ELDLYPOP,TOT,PC_POP,A,1993,11.63975247,
AUS,ELDLYPOP,TOT,PC_POP,A,1994,11.79314691,
AUS,ELDLYPOP,TOT,PC_POP,A,1995,11.90387696,
AUS,ELDLYPOP,TOT,PC_POP,A,1996,12.02890001,
AUS,ELDLYPOP,TOT,PC_POP,A,1997,12.14249855,
AUS,ELDLYPOP,TOT,PC_POP,A,1998,12.24502869,
AUS,ELDLYPOP,TOT,PC_POP,A,1999,12.34102392,
AUS,ELDLYPOP,TOT,PC_POP,A,2000,12.42463924,
AUS,ELDLYPOP,TOT,PC_POP,A,2001,12.550493,
AUS,ELDLYPOP,TOT,PC_POP,A,2002,12.65881722,
AUS,ELDLYPOP,TOT,PC_POP,A,2003,12.74661794,
AUS,ELDLYPOP,TOT,PC_POP,A,2004,12.85042755,
AUS,ELDLYPOP,TOT,PC_POP,A,2005,12.95945491,
AUS,ELDLYPOP,TOT,PC_POP,A,2006,13.02659248,
AUS,ELDLYPOP,TOT,PC_POP,A,2007,13.13933007,
AUS,ELDLYPOP,TOT,PC_POP,A,2008,13.20128349,
AUS,ELDLYPOP,TOT,PC_POP,A,2009,13.32570644,
AUS,ELDLYPOP,TOT,PC_POP,A,2010,13.55623135,
AUS,ELDLYPOP,TOT,PC_POP,A,2011,13.82232624,
AUS,ELDLYPOP,TOT,PC_POP,A,2012,14.13710141,
AUS,ELDLYPOP,TOT,PC_POP,A,2013,14.3996862,
AUS,ELDLYPOP,TOT,PC_POP,A,2014,14.66260879,
AUS,ELDLYPOP,TOT,PC_POP,A,2015,14.9240206,
AUS,ELDLYPOP,TOT,PC_POP,A,2016,15.18029481,
AUS,ELDLYPOP,TOT,PC_POP,A,2017,15.40876178,
AUS,ELDLYPOP,TOT,PC_POP,A,2018,15.66274614,
AUS,ELDLYPOP,TOT,PC_POP,A,2019,15.9275038,
AUS,ELDLYPOP,TOT,PC_POP,A,2020,16.32348361,
AUT,ELDLYPOP,TOT,PC_POP,A,1950,10.44258915,
AUT,ELDLYPOP,TOT,PC_POP,A,1951,10.613441,
AUT,ELDLYPOP,TOT,PC_POP,A,1952,10.85435548,
AUT,ELDLYPOP,TOT,PC_POP,A,1953,11.06241443,
AUT,ELDLYPOP,TOT,PC_POP,A,1954,11.25600108,
AUT,ELDLYPOP,TOT,PC_POP,A,1955,11.41346085,
AUT,ELDLYPOP,TOT,PC_POP,A,1956,11.56679337,
AUT,ELDLYPOP,TOT,PC_POP,A,1957,11.72244346,
AUT,ELDLYPOP,TOT,PC_POP,A,1958,11.87839524,
